ts,GC=F,GLD,IEF,TLT,TIP,SHY,BIL,UUP,EURUSD=X,JPY=X,CNY=X,CL=F,HG=F,DBC,ES=F,NQ=F,RTY=F,BTC-USD,HYG,JNK,LQD,^VIX,^VVIX,^MOVE,FXI,KWEB,EWJ,SPY,QQQ,IWM
2026-05-24T19:45:00,,,,,,,,,,,,,,,,,,76677.7734375,,,,,,,,,,,,
2026-05-24T20:00:00,,,,,,,,,,,,,,,,,,76595.65625,,,,,,,,,,,,
2026-05-24T20:15:00,,,,,,,,,,,,,,,,,,76579.2890625,,,,,,,,,,,,
2026-05-24T20:30:00,,,,,,,,,,,,,,,,,,76588.0,,,,,,,,,,,,
2026-05-24T20:45:00,,,,,,,,,,,,,,,,,,76569.2578125,,,,,,,,,,,,
2026-05-24T21:00:00,,,,,,,,,,,,,,,,,,76626.40625,,,,,,,,,,,,
2026-05-24T21:15:00,,,,,,,,,,,,,,,,,,76426.359375,,,,,,,,,,,,
2026-05-24T21:30:00,,,,,,,,,,,,,,,,,,76035.890625,,,,,,,,,,,,
2026-05-24T21:45:00,,,,,,,,,,,,,,,,,,76045.4921875,,,,,,,,,,,,
2026-05-24T22:00:00,,,,,,,,,,,,,,,,,,76880.640625,,,,,,,,,,,,
2026-05-24T22:15:00,,,,,,,,,,,,,,,,,,76748.6875,,,,,,,,,,,,
2026-05-24T22:30:00,,,,,,,,,,,,,,,,,,76694.9921875,,,,,,,,,,,,
2026-05-24T22:45:00,,,,,,,,,,,,,,,,,,76710.0,,,,,,,,,,,,
2026-05-24T23:00:00,,,,,,,,,1.164822340011597,158.86000061035156,,,,,,,,76864.4921875,,,,,,,,,,,,
2026-05-24T23:15:00,,,,,,,,,1.164822340011597,158.8730010986328,,,,,,,,76764.0,,,,,,,,,,,,
2026-05-24T23:30:00,,,,,,,,,1.164822340011597,158.8979949951172,,,,,,,,77102.84375,,,,,,,,,,,,
2026-05-24T23:45:00,,,,,,,,,1.16441547870636,158.95399475097656,,,,,,,,76968.40625,,,,,,,,,,,,
2026-05-25T00:00:00,,,,,,,,,1.1642799377441406,158.91000366210938,,,,,,,,77099.1875,,,,,,,,,,,,
2026-05-25T00:15:00,,,,,,,,,1.1645511388778689,158.88600158691406,,,,,,,,77125.203125,,,,,,,,,,,,
2026-05-25T00:30:00,,,,,,,,,1.1642799377441406,158.90499877929688,,,,,,,,77032.9921875,,,,,,,,,,,,
2026-05-25T00:45:00,,,,,,,,,1.164008855819702,158.90199279785156,,,,,,,,77057.140625,,,,,,,,,,,,
2026-05-25T01:00:00,,,,,,,,,1.164686679840088,158.81300354003906,,,,,,,,77084.359375,,,,,,,,,,,,
2026-05-25T01:15:00,,,,,,,,,1.164958119392395,158.75900268554688,,,,,,,,77084.6875,,,,,,,,,,,,
2026-05-25T01:30:00,,,,,,,,,1.16441547870636,158.8280029296875,6.7835001945495605,,,,,,,77032.96875,,,,,,,,,,,,
2026-05-25T01:45:00,,,,,,,,,1.1642799377441406,158.8769989013672,6.783400058746338,,,,,,,76850.9765625,,,,,,,,,,,,
2026-05-25T02:00:00,,,,,,,,,1.16441547870636,158.8520050048828,6.780200004577637,,,,,,,77310.703125,,,,,,,,,,,,
2026-05-25T02:15:00,,,,,,,,,1.1645511388778689,158.84100341796875,6.78000020980835,,,,,,,77048.9921875,,,,,,,,,,,,
2026-05-25T02:30:00,,,,,,,,,1.16441547870636,158.84100341796875,6.780099868774414,,,,,,,77070.0390625,,,,,,,,,,,,
2026-05-25T02:45:00,,,,,,,,,1.1641442775726318,158.84100341796875,6.781400203704834,,,,,,,77010.0,,,,,,,,,,,,
2026-05-25T03:00:00,,,,,,,,,1.1641442775726318,158.86399841308594,6.781199932098389,,,,,,,77001.9921875,,,,,,,,,,,,
2026-05-25T03:15:00,,,,,,,,,1.1641442775726318,158.86099243164062,6.780200004577637,,,,,,,76991.5625,,,,,,,,,,,,
2026-05-25T03:30:00,,,,,,,,,1.1641442775726318,158.87100219726562,6.780099868774414,,,,,,,76980.0078125,,,,,,,,,,,,
2026-05-25T03:45:00,,,,,,,,,1.164008855819702,158.8780059814453,6.780600070953369,,,,,,,76933.1015625,,,,,,,,,,,,
2026-05-25T04:00:00,,,,,,,,,1.164008855819702,158.88999938964844,6.781000137329102,,,,,,,76939.34375,,,,,,,,,,,,
2026-05-25T04:15:00,,,,,,,,,1.164008855819702,158.90199279785156,6.780799865722656,,,,,,,77081.2265625,,,,,,,,,,,,
2026-05-25T04:30:00,,,,,,,,,1.1642799377441406,158.8780059814453,6.780600070953369,,,,,,,77159.8828125,,,,,,,,,,,,
2026-05-25T04:45:00,,,,,,,,,1.1645511388778689,158.85299682617188,6.780099868774414,,,,,,,77292.40625,,,,,,,,,,,,
2026-05-25T05:00:00,,,,,,,,,1.164686679840088,158.83900451660156,6.780099868774414,,,,,,,77324.7265625,,,,,,,,,,,,
2026-05-25T05:15:00,,,,,,,,,1.164686679840088,158.86099243164062,6.780300140380859,,,,,,,77295.890625,,,,,,,,,,,,
2026-05-25T05:30:00,,,,,,,,,1.164686679840088,158.86900329589844,6.780600070953369,,,,,,,77356.3984375,,,,,,,,,,,,
2026-05-25T05:45:00,,,,,,,,,1.1642799377441406,158.92599487304688,6.781700134277344,,,,,,,77316.2734375,,,,,,,,,,,,
2026-05-25T06:00:00,,,,,,,,,1.16441547870636,158.91099548339844,6.780200004577637,,,,,,,77242.8671875,,,,,,,,,,,,
2026-05-25T06:15:00,,,,,,,,,1.1642799377441406,158.91200256347656,6.780200004577637,,,,,,,77185.9609375,,,,,,,,,,,,
